timestamp,event_type,token_id,reset_time_utc8
2026-09-01 00:40:26,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 08:40:26
2026-09-01 00:42:33,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 08:42:33
2026-09-01 07:52:46,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 15:52:46
2026-09-01 07:54:53,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 15:54:53
2026-09-01 14:11:55,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 22:11:55
2026-09-01 14:14:03,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-01 22:14:03
2026-09-01 17:52:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 01:52:31
2026-09-01 17:54:39,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 01:54:39
2026-09-01 23:24:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 07:24:07
2026-09-01 23:26:14,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 07:26:14
2026-09-02 07:10:09,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 15:10:09
2026-09-02 07:12:18,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 15:12:18
2026-09-02 13:44:08,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 21:44:08
2026-09-02 13:46:17,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-02 21:46:17
2026-09-02 17:56:37,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 01:56:37
2026-09-02 17:58:43,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 01:58:43
2026-09-02 23:22:50,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 07:22:50
2026-09-02 23:24:58,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 07:24:58
2026-09-03 07:15:08,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 15:15:08
2026-09-03 07:17:16,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 15:17:16
2026-09-03 13:39:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 21:39:35
2026-09-03 13:41:46,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-03 21:41:46
2026-09-03 17:54:27,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-04 01:54:27
2026-09-03 17:56:34,SESSION-RESET-TRIGGER,TOKEN_2,2026-09-04 01:56:34
